"Notes","County of Residence","County of Residence Code",Births,Total Population,Birth Rate
,"Baldwin County, AL","01003",2292,229287,10.00
,"Calhoun County, AL","01015",1262,113469,11.12
,"Etowah County, AL","01055",1171,102371,11.44
,"Houston County, AL","01069",1337,106580,12.54
,"Jefferson County, AL","01073",7929,655342,12.10
,"Lee County, AL","01081",1842,166831,11.04
,"Madison County, AL","01089",4337,379453,11.43
,"Mobile County, AL","01097",5302,412716,12.85
,"Montgomery County, AL","01101",3138,224639,13.97
,"Morgan County, AL","01103",1464,119883,12.21
,"Shelby County, AL","01117",2230,221428,10.07
,"Tuscaloosa County, AL","01125",2570,210758,12.19
,"Unidentified Counties, AL","01999",22773,1978775,11.51
,"Anchorage Borough, AK","02020",3773,287095,13.14
,"Unidentified Counties, AK","02999",5696,444063,12.83
,"Cochise County, AZ","04003",1279,127450,10.04
,"Coconino County, AZ","04005",1328,142481,9.32
,"Maricopa County, AZ","04013",49365,4579081,10.78
,"Mohave County, AZ","04015",1710,217206,7.87
,"Navajo County, AZ","04017",1305,112112,11.64
,"Pima County, AZ","04019",10050,1061175,9.47
,"Pinal County, AZ","04021",4650,480828,9.67
,"Yavapai County, AZ","04025",1689,240226,7.03
,"Yuma County, AZ","04027",2980,217824,13.68
,"Unidentified Counties, AZ","04999",2591,243018,10.66
,"Benton County, AR","05007",3661,288774,12.68
,"Faulkner County, AR","05045",1494,126919,11.77
,"Pulaski County, AR","05119",5041,392980,12.83
,"Saline County, AR","05125",1285,123968,10.37
,"Sebastian County, AR","05131",1550,127590,12.15
,"Washington County, AR","05143",3086,243216,12.69
,"Unidentified Counties, AR","05999",19134,1727075,11.08
,"Alameda County, CA","06001",17316,1662323,10.42
,"Butte County, CA","06007",1991,212744,9.36
,"Contra Costa County, CA","06013",11760,1152333,10.21
,"El Dorado County, CA","06017",1465,192925,7.59
,"Fresno County, CA","06019",13825,1000918,13.81
,"Humboldt County, CA","06023",1265,134977,9.37
,"Imperial County, CA","06025",2329,180267,12.92
,"Kern County, CA","06029",12356,901362,13.71
,"Kings County, CA","06031",2252,152692,14.75
,"Los Angeles County, CA","06037",98060,9943046,9.86
,"Madera County, CA","06039",2097,157761,13.29
,"Marin County, CA","06041",2078,257332,8.08
,"Merced County, CA","06047",3732,279252,13.36
,"Monterey County, CA","06053",5575,430906,12.94
,"Napa County, CA","06055",1207,135965,8.88
,"Orange County, CA","06059",31014,3166857,9.79
,"Placer County, CA","06061",3494,402950,8.67
,"Riverside County, CA","06065",26955,2489188,10.83
,"Sacramento County, CA","06067",18032,1559146,11.57
,"San Bernardino County, CA","06071",26706,2189183,12.20
,"San Diego County, CA","06073",37161,3332427,11.15
,"San Francisco County, CA","06075",8014,866606,9.25
,"San Joaquin County, CA","06077",9690,767967,12.62
,"San Luis Obispo County, CA","06079",2360,282249,8.36
,"San Mateo County, CA","06081",7716,758308,10.18
,"Santa Barbara County, CA","06083",5344,444766,12.02
,"Santa Clara County, CA","06085",19575,1907105,10.26
,"Santa Cruz County, CA","06087",2189,269925,8.11
,"Shasta County, CA","06089",1841,179027,10.28
,"Solano County, CA","06095",4957,446935,11.09
,"Sonoma County, CA","06097",4312,489819,8.80
,"Stanislaus County, CA","06099",7118,550081,12.94
,"Tulare County, CA","06107",6658,468680,14.21
,"Ventura County, CA","06111",8241,841387,9.79
,"Yolo County, CA","06113",1957,219728,8.91
,"Unidentified Counties, CA","06999",9617,940941,10.22
,"Adams County, CO","08001",6034,519883,11.61
,"Arapahoe County, CO","08005",7307,657452,11.11
,"Boulder County, CO","08013",2459,327171,7.52
,"Denver County, CO","08031",9195,735538,12.50
,"Douglas County, CO","08035",3474,360750,9.63
,"El Paso County, CO","08041",9180,728310,12.60
,"Jefferson County, CO","08059",5500,583283,9.43
,"Larimer County, CO","08069",2946,360428,8.17
,"Mesa County, CO","08077",1524,155603,9.79
,"Pueblo County, CO","08101",1715,169823,10.10
,"Weld County, CO","08123",4350,333983,13.02
,"Unidentified Counties, CO","08999",7810,875495,8.92
,"Fairfield County, CT","09001",9430,942426,10.01
,"Hartford County, CT","09003",8693,889226,9.78
,"Litchfield County, CT","09005",1341,179610,7.47
,"Middlesex County, CT","09007",1246,161657,7.71
,"New Haven County, CT","09009",8226,851948,9.66
,"New London County, CT","09011",2380,264999,8.98
,"Tolland County, CT","09013",1153,150600,7.66
,"Windham County, CT","09015",991,116540,8.50
,"Kent County, DE","10001",2096,183643,11.41
,"New Castle County, DE","10003",6116,561531,10.89
,"Sussex County, DE","10005",2180,241635,9.02
,"District of Columbia, DC","11001",8874,712816,12.45
,"Alachua County, FL","12001",2551,271218,9.41
,"Bay County, FL","12005",1896,171322,11.07
,"Brevard County, FL","12009",4922,608459,8.09
,"Broward County, FL","12011",19946,1958105,10.19
,"Charlotte County, FL","12015",1043,194711,5.36
