"Notes","County of Residence","County of Residence Code",Births,Total Population,Birth Rate
,"Citrus County, FL","12017",1055,153010,6.89
,"Clay County, FL","12019",2107,221770,9.50
,"Collier County, FL","12021",3166,392973,8.06
,"Duval County, FL","12031",12495,966728,12.93
,"Escambia County, FL","12033",3731,322364,11.57
,"Hernando County, FL","12053",1589,198792,7.99
,"Hillsborough County, FL","12057",16589,1497957,11.07
,"Indian River County, FL","12061",1194,162518,7.35
,"Lake County, FL","12069",3301,375492,8.79
,"Lee County, FL","12071",6775,790767,8.57
,"Leon County, FL","12073",2936,295460,9.94
,"Manatee County, FL","12081",3392,411219,8.25
,"Marion County, FL","12083",3422,373513,9.16
,"Martin County, FL","12085",1248,162088,7.70
,"Miami-Dade County, FL","12086",27675,2707303,10.22
,"Okaloosa County, FL","12091",2558,212820,12.02
,"Orange County, FL","12095",15707,1404396,11.18
,"Osceola County, FL","12097",4481,385315,11.63
,"Palm Beach County, FL","12099",14112,1507600,9.36
,"Pasco County, FL","12101",4968,570412,8.71
,"Pinellas County, FL","12103",7462,976802,7.64
,"Polk County, FL","12105",7984,744552,10.72
,"St. Johns County, FL","12109",2148,278715,7.71
,"St. Lucie County, FL","12111",3024,337186,8.97
,"Santa Rosa County, FL","12113",1844,189139,9.75
,"Sarasota County, FL","12115",2653,443465,5.98
,"Seminole County, FL","12117",4437,474171,9.36
,"Volusia County, FL","12127",4726,561497,8.42
,"Unidentified Counties, FL","12999",12534,1411473,8.88
,"Bartow County, GA","13015",1303,109426,11.91
,"Bibb County, GA","13021",2112,152737,13.83
,"Carroll County, GA","13045",1626,121633,13.37
,"Chatham County, GA","13051",3500,289463,12.09
,"Cherokee County, GA","13057",2528,265274,9.53
,"Clarke County, GA","13059",1301,127795,10.18
,"Clayton County, GA","13063",3628,292646,12.40
,"Cobb County, GA","13067",8650,762944,11.34
,"Columbia County, GA","13073",1656,160377,10.33
,"Coweta County, GA","13077",1481,150849,9.82
,"DeKalb County, GA","13089",10158,762009,13.33
,"Douglas County, GA","13097",1672,147988,11.30
,"Fayette County, GA","13113",884,115821,7.63
,"Forsyth County, GA","13117",2175,250847,8.67
,"Fulton County, GA","13121",12104,1077402,11.23
,"Gwinnett County, GA","13135",10560,942627,11.20
,"Hall County, GA","13139",2483,206591,12.02
,"Henry County, GA","13151",2643,239139,11.05
,"Houston County, GA","13153",1919,160110,11.99
,"Lowndes County, GA","13185",1581,118268,13.37
,"Muscogee County, GA","13215",2815,196442,14.33
,"Paulding County, GA","13223",1719,173359,9.92
,"Richmond County, GA","13245",2879,202079,14.25
,"Whitfield County, GA","13313",1264,103837,12.17
,"Unidentified Counties, GA","13999",39832,3580354,11.13
,"Hawaii County, HI","15001",2030,203340,9.98
,"Honolulu County, HI","15003",11331,963826,11.76
,"Maui County, HI","15009",1697,167902,10.11
,"Unidentified Counties, HI","15999",727,71938,10.11
,"Ada County, ID","16001",4883,494399,9.88
,"Bonneville County, ID","16019",1779,122134,14.57
,"Canyon County, ID","16027",3197,237053,13.49
,"Kootenai County, ID","16055",1830,170628,10.73
,"Unidentified Counties, ID","16999",9844,802699,12.26
,"Champaign County, IL","17019",2105,209192,10.06
,"Cook County, IL","17031",56119,5108284,10.99
,"DeKalb County, IL","17037",1037,104491,9.92
,"DuPage County, IL","17043",9367,917481,10.21
,"Kane County, IL","17089",5637,531010,10.62
,"Kankakee County, IL","17091",1151,108594,10.60
,"Kendall County, IL","17093",1403,130638,10.74
,"Lake County, IL","17097",6611,693593,9.53
,"LaSalle County, IL","17099",1068,107571,9.93
,"McHenry County, IL","17111",2986,305888,9.76
,"McLean County, IL","17113",1699,171256,9.92
,"Macon County, IL","17115",1253,103015,12.16
,"Madison County, IL","17119",2596,262635,9.88
,"Peoria County, IL","17143",2234,177652,12.58
,"Rock Island County, IL","17161",1586,140907,11.26
,"St. Clair County, IL","17163",2879,258046,11.16
,"Sangamon County, IL","17167",2165,193882,11.17
,"Tazewell County, IL","17179",1256,130777,9.60
,"Will County, IL","17197",6823,688726,9.91
,"Winnebago County, IL","17201",3373,281295,11.99
,"Unidentified Counties, IL","17999",19950,1962597,10.17
,"Allen County, IN","18003",5198,382187,13.60
,"Clark County, IN","18019",1356,119266,11.37
,"Delaware County, IN","18035",1067,113454,9.40
,"Elkhart County, IN","18039",2898,206161,14.06
,"Hamilton County, IN","18057",3595,344238,10.44
,"Hendricks County, IN","18063",1709,173251,9.86
,"Johnson County, IN","18081",1817,160607,11.31
,"Lake County, IN","18089",5442,487536,11.16
,"La Porte County, IN","18091",1144,109663,10.43
,"Madison County, IN","18095",1418,129681,10.93
,"Marion County, IN","18097",13702,966183,14.18
,"Monroe County, IN","18105",1118,148219,7.54
,"Porter County, IN","18127",1594,170980,9.32
,"St. Joseph County, IN","18141",3251,271484,11.97
,"Tippecanoe County, IN","18157",2094,196115,10.68
,"Vanderburgh County, IN","18163",2133,182447,11.69
,"Vigo County, IN","18167",1127,106608,10.57
,"Unidentified Counties, IN","18999",27953,2486873,11.24
,"Black Hawk County, IA","19013",1642,130786,12.55
,"Johnson County, IA","19103",1625,153740,10.57
,"Linn County, IA","19113",2609,227854,11.45
,"Polk County, IA","19153",6283,494281,12.71
,"Scott County, IA","19163",1999,173216,11.54
,"Woodbury County, IA","19193",1435,103138,13.91
,"Unidentified Counties, IA","19999",20521,1880546,10.91
,"Douglas County, KS","20045",1020,122530,8.32
,"Johnson County, KS","20091",6830,607220,11.25
,"Sedgwick County, KS","20173",6520,519907,12.54
,"Shawnee County, KS","20177",1994,175999,11.33
,"Wyandotte County, KS","20209",2478,165265,14.99
,"Unidentified Counties, KS","20999",15534,1322884,11.74
,"Boone County, KY","21015",1666,135396,12.30
,"Fayette County, KY","21067",3676,324735,11.32
,"Hardin County, KY","21093",1397,111309,12.55
,"Jefferson County, KY","21111",9480,767452,12.35
,"Kenton County, KY","21117",2180,167949,12.98
,"Warren County, KY","21227",1704,134510,12.67
,"Unidentified Counties, KY","21999",31565,2835900,11.13
,"Ascension Parish, LA","22005",1655,128665,12.86
,"Bossier Parish, LA","22015",1618,127275,12.71
,"Caddo Parish, LA","22017",2923,237479,12.31
,"Calcasieu Parish, LA","22019",2666,203310,13.11
,"East Baton Rouge Parish, LA","22033",5583,439729,12.70
,"Jefferson Parish, LA","22051",5300,432346,12.26
,"Lafayette Parish, LA","22055",3296,246518,13.37
,"Livingston Parish, LA","22063",1847,143737,12.85
,"Orleans Parish, LA","22071",4375,389476,11.23
,"Ouachita Parish, LA","22073",1954,152439,12.82
,"Rapides Parish, LA","22079",1638,128567,12.74
,"St. Tammany Parish, LA","22103",2938,263446,11.15
,"Tangipahoa Parish, LA","22105",1937,136765,14.16
,"Terrebonne Parish, LA","22109",1424,109859,12.96
,"Unidentified Counties, LA","22999",18174,1505707,12.07
,"Androscoggin County, ME","23001",1096,108547,10.10
,"Cumberland County, ME","23005",2753,298111,9.23
,"Kennebec County, ME","23011",1060,122955,8.62
,"Penobscot County, ME","23019",1204,151655,7.94
,"York County, ME","23031",1725,209066,8.25
,"Unidentified Counties, ME","23999",3701,459807,8.05
,"Anne Arundel County, MD","24003",6816,582777,11.70
,"Baltimore County, MD","24005",9352,826017,11.32
,"Carroll County, MD","24013",1663,169092,9.83
,"Cecil County, MD","24015",1097,103419,10.61
,"Charles County, MD","24017",1790,164436,10.89
,"Frederick County, MD","24021",2965,265161,11.18
,"Harford County, MD","24025",2574,256805,10.02
,"Howard County, MD","24027",3350,328200,10.21
,"Montgomery County, MD","24031",11696,1051816,11.12
,"Prince George's County, MD","24033",11302,909612,12.43
,"St. Mary's County, MD","24037",1381,114687,12.04
,"Washington County, MD","24043",1683,151146,11.13
,"Baltimore city, MD","24510",7403,586131,12.63
,"Unidentified Counties, MD","24999",5482,546503,10.03
,"Barnstable County, MA","25001",1414,213164,6.63
,"Berkshire County, MA","25003",924,124571,7.42
,"Bristol County, MA","25005",5541,566765,9.78
,"Essex County, MA","25009",8147,791263,10.30
,"Hampden County, MA","25013",4758,463986,10.25
,"Hampshire County, MA","25015",903,161401,5.59
,"Middlesex County, MA","25017",15762,1609379,9.79
,"Norfolk County, MA","25021",6773,709409,9.55
,"Plymouth County, MA","25023",4942,523738,9.44
,"Suffolk County, MA","25025",8397,801582,10.48
,"Worcester County, MA","25027",8103,829212,9.77
,"Unidentified Counties, MA","25999",764,99104,7.71
,"Allegan County, MI","26005",1197,118927,10.06
,"Bay County, MI","26017",924,102387,9.02
,"Berrien County, MI","26021",1525,153025,9.97
,"Calhoun County, MI","26025",1480,133580,11.08
,"Eaton County, MI","26045",1021,110148,9.27
,"Genesee County, MI","26049",4335,404794,10.71
,"Ingham County, MI","26065",2943,290609,10.13
,"Jackson County, MI","26075",1704,156920,10.86
,"Kalamazoo County, MI","26077",2760,265988,10.38
,"Kent County, MI","26081",8238,658708,12.51
,"Livingston County, MI","26093",1656,192335,8.61
,"Macomb County, MI","26099",8851,870791,10.16
,"Monroe County, MI","26115",1552,150568,10.31
,"Muskegon County, MI","26121",1889,173883,10.86
,"Oakland County, MI","26125",12297,1253459,9.81
,"Ottawa County, MI","26139",3084,294635,10.47
,"Saginaw County, MI","26145",1989,189868,10.48
,"St. Clair County, MI","26147",1496,159293,9.39
,"Washtenaw County, MI","26161",3187,366473,8.70
,"Wayne County, MI","26163",21800,1740623,12.52
,"Unidentified Counties, MI","26999",20146,2179541,9.24
,"Anoka County, MN","27003",3995,359921,11.10
,"Dakota County, MN","27037",4951,431807,11.47
,"Hennepin County, MN","27053",14837,1268408,11.70
,"Olmsted County, MN","27109",1918,159298,12.04
,"Ramsey County, MN","27123",6943,547903,12.67
,"St. Louis County, MN","27137",1763,198538,8.88
,"Scott County, MN","27139",1641,150689,10.89
,"Stearns County, MN","27145",1987,162038,12.26
,"Washington County, MN","27163",2668,265476,10.05
,"Wright County, MN","27171",1734,140249,12.36
,"Unidentified Counties, MN","27999",21006,1973015,10.65
,"DeSoto County, MS","28033",2197,188275,11.67
,"Harrison County, MS","28047",2458,208801,11.77
,"Hinds County, MS","28049",2868,227966,12.58
,"Jackson County, MS","28059",1567,143802,10.90
,"Rankin County, MS","28121",1699,155975,10.89
,"Unidentified Counties, MS","28999",24684,2041967,12.09
,"Boone County, MO","29019",1980,182991,10.82
,"Clay County, MO","29047",2990,253463,11.80
,"Franklin County, MO","29071",1101,104469,10.54
,"Greene County, MO","29077",3242,294997,10.99
,"Jackson County, MO","29095",8776,705925,12.43
,"Jasper County, MO","29097",1519,121648,12.49
,"Jefferson County, MO","29099",2385,226543,10.53
,"St. Charles County, MO","29183",4073,406204,10.03
,"St. Louis County, MO","29189",10584,994020,10.65
,"St. Louis city, MO","29510",3791,297645,12.74
,"Unidentified Counties, MO","29999",28844,2563643,11.25
,"Missoula County, MT","30063",1063,121630,8.74
,"Yellowstone County, MT","30111",1829,162990,11.22
,"Unidentified Counties, MT","30999",7899,795957,9.92
,"Douglas County, NE","31055",7889,574332,13.74
,"Lancaster County, NE","31109",3714,320650,11.58
,"Sarpy County, NE","31153",2423,188856,12.83
,"Unidentified Counties, NE","31999",10265,853714,12.02
,"Clark County, NV","32003",25330,2315963,10.94
,"Washoe County, NV","32031",4955,477082,10.39
,"Unidentified Counties, NV","32999",3368,345214,9.76
,"Hillsborough County, NH","33011",4081,418735,9.75
,"Merrimack County, NH","33013",1276,152622,8.36
,"Rockingham County, NH","33015",2648,311307,8.51
,"Strafford County, NH","33017",1170,131533,8.90
,"Unidentified Counties, NH","33999",2616,352078,7.43
,"Atlantic County, NJ","34001",2823,262945,10.74
,"Bergen County, NJ","34003",8653,930394,9.30
,"Burlington County, NJ","34005",4376,446596,9.80
,"Camden County, NJ","34007",5933,506809,11.71
,"Cumberland County, NJ","34011",1819,147008,12.37
,"Essex County, NJ","34013",9652,800501,12.06
,"Gloucester County, NJ","34015",2727,293245,9.30
,"Hudson County, NJ","34017",9544,671666,14.21
,"Hunterdon County, NJ","34019",994,124797,7.96
,"Mercer County, NJ","34021",3985,367239,10.85
,"Middlesex County, NJ","34023",8426,822736,10.24
,"Monmouth County, NJ","34025",5852,618381,9.46
,"Morris County, NJ","34027",4580,491087,9.33
,"Ocean County, NJ","34029",9316,614237,15.17
,"Passaic County, NJ","34031",6260,500382,12.51
,"Somerset County, NJ","34035",2927,329331,8.89
,"Sussex County, NJ","34037",1299,140002,9.28
,"Union County, NJ","34039",6369,555394,11.47
,"Warren County, NJ","34041",1018,105624,9.64
,"Unidentified Counties, NJ","34999",1401,153997,9.10
,"Bernalillo County, NM","35001",6545,681666,9.60
,"Dona Ana County, NM","35013",2471,221262,11.17
,"Sandoval County, NM","35043",1321,148904,8.87
,"San Juan County, NM","35045",1337,123312,10.84
,"Santa Fe County, NM","35049",1106,151946,7.28
,"Unidentified Counties, NM","35999",9123,779229,11.71
,"Albany County, NY","36001",2810,303654,9.25
,"Bronx County, NY","36005",17851,1401142,12.74
,"Broome County, NY","36007",1788,189420,9.44
,"Chautauqua County, NY","36013",1239,126032,9.83
,"Dutchess County, NY","36027",2564,293293,8.74
,"Erie County, NY","36029",9456,917241,10.31
,"Jefferson County, NY","36045",1794,108095,16.60
,"Kings County, NY","36047",34442,2538934,13.57
,"Monroe County, NY","36055",7522,740900,10.15
,"Nassau County, NY","36059",13294,1351334,9.84
,"New York County, NY","36061",14755,1611989,9.15
,"Niagara County, NY","36063",1976,208396,9.48
,"Oneida County, NY","36065",2382,227346,10.48
,"Onondaga County, NY","36067",4864,459214,10.59
,"Ontario County, NY","36069",941,110091,8.55
,"Orange County, NY","36071",5231,385234,13.58
,"Oswego County, NY","36075",1168,116346,10.04
,"Queens County, NY","36081",24635,2225821,11.07
,"Rensselaer County, NY","36083",1577,158108,9.97
,"Richmond County, NY","36085",4958,475327,10.43
,"Rockland County, NY","36087",5728,326225,17.56
,"St. Lawrence County, NY","36089",994,107185,9.27
,"Saratoga County, NY","36091",1961,230298,8.52
,"Schenectady County, NY","36093",1794,155358,11.55
,"Suffolk County, NY","36103",14742,1474273,10.00
,"Tompkins County, NY","36109",663,101058,6.56
,"Ulster County, NY","36111",1476,177716,8.31
,"Westchester County, NY","36119",9618,965802,9.96
,"Unidentified Counties, NY","36999",17115,1850944,9.25
,"Alamance County, NC","37001",1831,171346,10.69
,"Brunswick County, NC","37019",1000,149039,6.71
,"Buncombe County, NC","37021",2325,263477,8.82
,"Cabarrus County, NC","37025",2541,221479,11.47
,"Catawba County, NC","37035",1593,160307,9.94
,"Craven County, NC","37049",1312,101233,12.96
,"Cumberland County, NC","37051",5118,336364,15.22
,"Davidson County, NC","37057",1699,169234,10.04
,"Durham County, NC","37063",4012,327306,12.26
,"Forsyth County, NC","37067",4288,383843,11.17
,"Gaston County, NC","37071",2547,226568,11.24
,"Guilford County, NC","37081",5927,540521,10.97
,"Harnett County, NC","37085",1867,137058,13.62
,"Henderson County, NC","37089",1004,118445,8.48
,"Iredell County, NC","37097",1897,185770,10.21
,"Johnston County, NC","37101",2487,216246,11.50
,"Mecklenburg County, NC","37119",14654,1128945,12.98
,"New Hanover County, NC","37129",2089,236613,8.83
,"Onslow County, NC","37133",3730,203943,18.29
,"Orange County, NC","37135",1105,149077,7.41
,"Pitt County, NC","37147",2002,182924,10.94
,"Randolph County, NC","37151",1559,144557,10.78
,"Robeson County, NC","37155",1730,129999,13.31
,"Rowan County, NC","37159",1587,142495,11.14
,"Union County, NC","37179",2328,244562,9.52
,"Wake County, NC","37183",12550,1132271,11.08
,"Wayne County, NC","37191",1543,123967,12.45
,"Unidentified Counties, NC","37999",30405,3073234,9.89
,"Cass County, ND","38017",2353,183904,12.79
,"Unidentified Counties, ND","38999",7706,581405,13.25
,"Allen County, OH","39003",1184,101980,11.61
,"Ashtabula County, OH","39007",1016,96513,10.53
,"Butler County, OH","39017",4366,385648,11.32
,"Clark County, OH","39023",1506,133593,11.27
,"Clermont County, OH","39025",2167,207449,10.45
,"Columbiana County, OH","39029",984,101118,9.73
,"Cuyahoga County, OH","39035",13191,1227883,10.74
,"Delaware County, OH","39041",1975,213554,9.25
,"Fairfield County, OH","39045",1627,159709,10.19
,"Franklin County, OH","39049",17557,1324624,13.25
,"Greene County, OH","39057",1712,170122,10.06
,"Hamilton County, OH","39061",10383,817985,12.69
,"Lake County, OH","39085",2021,229569,8.80
,"Licking County, OH","39089",1822,178100,10.23
,"Lorain County, OH","39093",3185,312172,10.20
,"Lucas County, OH","39095",5171,428294,12.07
,"Mahoning County, OH","39099",2326,226075,10.29
,"Medina County, OH","39103",1583,180912,8.75
,"Miami County, OH","39109",1144,107516,10.64
,"Montgomery County, OH","39113",6170,531610,11.61
,"Portage County, OH","39133",1306,162583,8.03
,"Richland County, OH","39139",1321,120891,10.93
,"Stark County, OH","39151",3934,369772,10.64
,"Summit County, OH","39153",5481,538866,10.17
,"Trumbull County, OH","39155",1983,196800,10.08
,"Warren County, OH","39165",2347,238412,9.84
,"Wayne County, OH","39169",1398,115694,12.08
,"Wood County, OH","39173",1180,131113,9.00
,"Unidentified Counties, OH","39999",29151,2684660,10.86
,"Canadian County, OK","40017",1845,153192,12.04
,"Cleveland County, OK","40027",2695,287066,9.39
,"Comanche County, OK","40031",1709,121099,14.11
,"Oklahoma County, OK","40109",10916,804041,13.58
,"Tulsa County, OK","40143",8699,657589,13.23
,"Unidentified Counties, OK","40999",21759,1957796,11.11
,"Clackamas County, OR","41005",3734,421596,8.86
,"Deschutes County, OR","41017",1822,201769,9.03
,"Douglas County, OR","41019",1042,111364,9.36
,"Jackson County, OR","41029",2084,221844,9.39
,"Lane County, OR","41039",2990,382986,7.81
,"Linn County, OR","41043",1463,131054,11.16
,"Marion County, OR","41047",3939,349204,11.28
,"Multnomah County, OR","41051",7524,815637,9.22
,"Washington County, OR","41067",5958,603514,9.87
,"Unidentified Counties, OR","41999",9264,1002539,9.24
,"Adams County, PA","42001",872,102742,8.49
,"Allegheny County, PA","42003",12104,1211358,9.99
,"Beaver County, PA","42007",1526,162575,9.39
,"Berks County, PA","42011",4360,421017,10.36
,"Blair County, PA","42013",1187,121007,9.81
,"Bucks County, PA","42017",5462,627987,8.70
,"Butler County, PA","42019",1708,189135,9.03
,"Cambria County, PA","42021",1205,128672,9.36
,"Centre County, PA","42027",1069,161496,6.62
,"Chester County, PA","42029",5206,526759,9.88
,"Cumberland County, PA","42041",2602,255857,10.17
,"Dauphin County, PA","42043",3334,279874,11.91
,"Delaware County, PA","42045",6281,566753,11.08
,"Erie County, PA","42049",2608,268426,9.72
,"Fayette County, PA","42051",1283,128126,10.01
,"Franklin County, PA","42055",1635,155637,10.51
,"Lackawanna County, PA","42069",2054,208989,9.83
,"Lancaster County, PA","42071",6874,546192,12.59
,"Lebanon County, PA","42075",1545,141663,10.91
,"Lehigh County, PA","42077",4057,370802,10.94
,"Luzerne County, PA","42079",3176,316982,10.02
,"Lycoming County, PA","42081",1169,113209,10.33
,"Mercer County, PA","42085",1017,108545,9.37
,"Monroe County, PA","42089",1427,170154,8.39
,"Montgomery County, PA","42091",8261,833869,9.91
,"Northampton County, PA","42095",2817,305892,9.21
,"Philadelphia County, PA","42101",19896,1578487,12.60
,"Schuylkill County, PA","42107",1283,140709,9.12
,"Washington County, PA","42125",1882,206803,9.10
,"Westmoreland County, PA","42129",2772,347087,7.99
,"York County, PA","42133",4650,450448,10.32
,"Unidentified Counties, PA","42999",15371,1636002,9.40
,"Kent County, RI","44003",1373,164646,8.34
,"Providence County, RI","44007",6923,636547,10.88
,"Washington County, RI","44009",820,125746,6.52
,"Unidentified Counties, RI","44999",985,130186,7.57
,"Aiken County, SC","45003",1903,172895,11.01
,"Anderson County, SC","45007",2151,204353,10.53
,"Beaufort County, SC","45013",1854,195656,9.48
,"Berkeley County, SC","45015",2778,235987,11.77
,"Charleston County, SC","45019",4900,417981,11.72
,"Dorchester County, SC","45035",1892,165737,11.42
,"Florence County, SC","45041",1589,137588,11.55
,"Greenville County, SC","45045",6232,532486,11.70
,"Horry County, SC","45051",3094,365449,8.47
,"Lexington County, SC","45063",3157,303946,10.39
,"Pickens County, SC","45077",1153,127983,9.01
,"Richland County, SC","45079",4629,419051,11.05
,"Spartanburg County, SC","45083",3798,326205,11.64
,"Sumter County, SC","45085",1403,106360,13.19
,"York County, SC","45091",2862,289105,9.90
,"Unidentified Counties, SC","45999",12309,1217258,10.11
,"Minnehaha County, SD","46099",2730,196659,13.88
,"Pennington County, SD","46103",1377,115926,11.88
,"Unidentified Counties, SD","46999",6853,580132,11.81
,"Blount County, TN","47009",1289,134751,9.57
,"Davidson County, TN","47037",9655,694176,13.91
,"Hamilton County, TN","47065",4220,371662,11.35
,"Knox County, TN","47093",5079,475609,10.68
,"Montgomery County, TN","47125",3526,214251,16.46
,"Rutherford County, TN","47149",4092,339261,12.06
,"Shelby County, TN","47157",12593,936017,13.45
,"Sullivan County, TN","47163",1402,158755,8.83
,"Sumner County, TN","47165",2156,195561,11.02
,"Washington County, TN","47179",1204,130367,9.24
,"Williamson County, TN","47187",2287,245348,9.32
,"Wilson County, TN","47189",1627,148130,10.98
,"Unidentified Counties, TN","47999",29559,2842946,10.40
,"Bell County, TX","48027",6095,369927,16.48
,"Bexar County, TX","48029",25228,2026823,12.45
,"Brazoria County, TX","48039",4495,380518,11.81
,"Brazos County, TX","48041",2635,232555,11.33
,"Cameron County, TX","48061",6019,424180,14.19
,"Collin County, TX","48085",11411,1072069,10.64
,"Comal County, TX","48091",1662,164812,10.08
,"Dallas County, TX","48113",36114,2635888,13.70
,"Denton County, TX","48121",9962,919324,10.84
,"Ector County, TX","48135",2742,167701,16.35
,"Ellis County, TX","48139",2379,191760,12.41
,"El Paso County, TX","48141",11089,841286,13.18
,"Fort Bend County, TX","48157",8825,839706,10.51
,"Galveston County, TX","48167",3889,345089,11.27
,"Grayson County, TX","48181",1584,138318,11.45
,"Gregg County, TX","48183",1574,124229,12.67
,"Guadalupe County, TX","48187",1902,170608,11.15
,"Harris County, TX","48201",63813,4738253,13.47
,"Hays County, TX","48209",2804,241365,11.62
,"Hidalgo County, TX","48215",13379,875200,15.29
,"Jefferson County, TX","48245",3190,250127,12.75
,"Johnson County, TX","48251",2118,179575,11.79
,"Kaufman County, TX","48257",2026,143198,14.15
,"Lubbock County, TX","48303",3976,314772,12.63
,"McLennan County, TX","48309",3198,259730,12.31
,"Midland County, TX","48329",2919,177863,16.41
,"Montgomery County, TX","48339",7428,626351,11.86
,"Nueces County, TX","48355",4392,363148,12.09
,"Parker County, TX","48367",1634,148198,11.03
,"Potter County, TX","48375",1579,116004,13.61
,"Randall County, TX","48381",1596,139899,11.41
,"Smith County, TX","48423",2894,235806,12.27
,"Tarrant County, TX","48439",26611,2123347,12.53
,"Taylor County, TX","48441",1932,139200,13.88
,"Tom Green County, TX","48451",1480,120010,12.33
,"Travis County, TX","48453",15169,1300503,11.66
,"Webb County, TX","48479",4344,277681,15.64
,"Wichita County, TX","48485",1533,133205,11.51
