"Notes","County of Residence","County of Residence Code",Births,Total Population,Birth Rate
,"Hinds County, MS","28049",2361,211975,11.14
,"Jackson County, MS","28059",1551,147002,10.55
,"Rankin County, MS","28121",1660,160573,10.34
,"Unidentified Counties, MS","28999",23374,2013894,11.61
,"Boone County, MO","29019",1897,192154,9.87
,"Clay County, MO","29047",2939,263370,11.16
,"Franklin County, MO","29071",1172,107256,10.93
,"Greene County, MO","29077",3387,307942,11.00
,"Jackson County, MO","29095",8574,727362,11.79
,"Jasper County, MO","29097",1557,126479,12.31
,"Jefferson County, MO","29099",2387,231888,10.29
,"St. Charles County, MO","29183",4107,423726,9.69
,"St. Louis County, MO","29189",9937,992929,10.01
,"St. Louis city, MO","29510",3142,279695,11.23
,"Unidentified Counties, MO","29999",28899,2592665,11.15
,"Missoula County, MT","30063",1084,122546,8.85
,"Yellowstone County, MT","30111",1788,171583,10.42
,"Unidentified Counties, MT","30999",8459,843104,10.03
,"Douglas County, NE","31055",8080,601158,13.44
,"Lancaster County, NE","31109",3731,332857,11.21
,"Sarpy County, NE","31153",2406,204828,11.75
,"Unidentified Counties, NE","31999",10568,866622,12.19
,"Clark County, NV","32003",24036,2398871,10.02
,"Washoe County, NV","32031",4991,507280,9.84
,"Unidentified Counties, NV","32999",3354,361316,9.28
,"Hillsborough County, NH","33011",4080,430462,9.48
,"Merrimack County, NH","33013",1256,157869,7.96
,"Rockingham County, NH","33015",2645,322433,8.20
,"Strafford County, NH","33017",1131,134202,8.43
,"Unidentified Counties, NH","33999",2658,364066,7.30
,"Atlantic County, NJ","34001",2724,279114,9.76
,"Bergen County, NJ","34003",9019,978641,9.22
,"Burlington County, NJ","34005",4571,475515,9.61
,"Camden County, NJ","34007",5883,533988,11.02
,"Cumberland County, NJ","34011",1810,155678,11.63
,"Essex County, NJ","34013",9982,881527,11.32
,"Gloucester County, NJ","34015",2912,311783,9.34
,"Hudson County, NJ","34017",9048,736185,12.29
,"Hunterdon County, NJ","34019",1116,131708,8.47
,"Mercer County, NJ","34021",4098,392138,10.45
,"Middlesex County, NJ","34023",8294,890119,9.32
,"Monmouth County, NJ","34025",6382,647520,9.86
,"Morris County, NJ","34027",5027,523053,9.61
,"Ocean County, NJ","34029",10817,666434,16.23
,"Passaic County, NJ","34031",6144,526597,11.67
,"Somerset County, NJ","34035",3222,357467,9.01
,"Sussex County, NJ","34037",1339,147444,9.08
,"Union County, NJ","34039",6548,594160,11.02
,"Warren County, NJ","34041",1076,112031,9.60
,"Unidentified Counties, NJ","34999",1360,159749,8.51
,"Bernalillo County, NM","35001",6375,671747,9.49
,"Dona Ana County, NM","35013",2520,229366,10.99
,"Sandoval County, NM","35043",1372,157757,8.70
,"San Juan County, NM","35045",1203,120817,9.96
,"Santa Fe County, NM","35049",1127,157765,7.14
,"Unidentified Counties, NM","35999",8731,792804,11.01
,"Albany County, NY","36001",2774,319964,8.67
,"Bronx County, NY","36005",16332,1384724,11.79
,"Broome County, NY","36007",1709,196397,8.70
,"Chautauqua County, NY","36013",1151,124105,9.27
,"Dutchess County, NY","36027",2642,299963,8.81
,"Erie County, NY","36029",8762,950602,9.22
,"Jefferson County, NY","36045",1540,113140,13.61
,"Kings County, NY","36047",33181,2617631,12.68
,"Monroe County, NY","36055",6970,752202,9.27
,"Nassau County, NY","36059",13525,1392438,9.71
,"New York County, NY","36061",14508,1660664,8.74
,"Niagara County, NY","36063",1819,209570,8.68
,"Oneida County, NY","36065",2175,228347,9.52
,"Onondaga County, NY","36067",4359,469812,9.28
,"Ontario County, NY","36069",967,113012,8.56
,"Orange County, NY","36071",5689,411767,13.82
,"Oswego County, NY","36075",1131,118305,9.56
,"Queens County, NY","36081",24173,2316841,10.43
,"Rensselaer County, NY","36083",1482,160749,9.22
,"Richmond County, NY","36085",4991,498212,10.02
,"Rockland County, NY","36087",6983,348144,20.06
,"St. Lawrence County, NY","36089",969,106198,9.12
,"Saratoga County, NY","36091",1977,240360,8.23
,"Schenectady County, NY","36093",1691,162261,10.42
,"Suffolk County, NY","36103",15735,1535909,10.24
,"Tompkins County, NY","36109",613,105602,5.80
,"Ulster County, NY","36111",1438,182977,7.86
,"Westchester County, NY","36119",9794,1006447,9.73
,"Unidentified Counties, NY","36999",16409,1840905,8.91
,"Alamance County, NC","37001",2044,183040,11.17
,"Brunswick County, NC","37019",1320,167112,7.90
,"Buncombe County, NC","37021",2309,279210,8.27
,"Cabarrus County, NC","37025",2730,244925,11.15
,"Catawba County, NC","37035",1722,167054,10.31
,"Craven County, NC","37049",1301,104167,12.49
,"Cumberland County, NC","37051",5083,338430,15.02
,"Davidson County, NC","37057",1826,177809,10.27
,"Durham County, NC","37063",4196,343628,12.21
,"Forsyth County, NC","37067",4489,398143,11.27
,"Gaston County, NC","37071",2855,242010,11.80
,"Guilford County, NC","37081",5634,558816,10.08
,"Harnett County, NC","37085",1954,146096,13.37
,"Henderson County, NC","37089",996,120771,8.25
,"Iredell County, NC","37097",2189,206361,10.61
,"Johnston County, NC","37101",2975,249794,11.91
,"Mecklenburg County, NC","37119",15567,1206285,12.90
,"New Hanover County, NC","37129",2226,243333,9.15
,"Onslow County, NC","37133",3690,212954,17.33
,"Orange County, NC","37135",1118,152877,7.31
,"Pitt County, NC","37147",2125,180783,11.75
,"Randolph County, NC","37151",1579,148389,10.64
,"Robeson County, NC","37155",1956,118624,16.49
,"Rowan County, NC","37159",1579,153384,10.29
,"Union County, NC","37179",2657,263386,10.09
,"Wake County, NC","37183",13394,1232444,10.87
,"Wayne County, NC","37191",1695,120338,14.09
,"Unidentified Counties, NC","37999",31647,3085861,10.26
,"Cass County, ND","38017",2400,200945,11.94
,"Unidentified Counties, ND","38999",7234,595623,12.15
,"Allen County, OH","39003",1248,100866,12.37
,"Ashtabula County, OH","39007",958,96906,9.89
,"Butler County, OH","39017",4244,399542,10.62
,"Clark County, OH","39023",1732,134985,12.83
,"Clermont County, OH","39025",2241,214123,10.47
,"Columbiana County, OH","39029",975,99823,9.77
,"Cuyahoga County, OH","39035",12451,1240594,10.04
,"Delaware County, OH","39041",2268,237966,9.53
,"Fairfield County, OH","39045",1663,167762,9.91
,"Franklin County, OH","39049",17393,1356303,12.82
,"Greene County, OH","39057",1651,172347,9.58
,"Hamilton County, OH","39061",10057,837359,12.01
,"Lake County, OH","39085",2090,232360,8.99
,"Licking County, OH","39089",1860,184898,10.06
,"Lorain County, OH","39093",3080,322030,9.56
,"Lucas County, OH","39095",4489,426291,10.53
,"Mahoning County, OH","39099",2145,225786,9.50
,"Medina County, OH","39103",1632,184625,8.84
,"Miami County, OH","39109",1152,111950,10.29
,"Montgomery County, OH","39113",5943,537443,11.06
,"Portage County, OH","39133",1365,163839,8.33
,"Richland County, OH","39139",1377,124853,11.03
,"Stark County, OH","39151",3766,374091,10.07
,"Summit County, OH","39153",5333,538370,9.91
,"Trumbull County, OH","39155",1908,200300,9.53
,"Warren County, OH","39165",2457,256059,9.60
,"Wayne County, OH","39169",1382,116632,11.85
,"Wood County, OH","39173",1204,133077,9.05
,"Unidentified Counties, OH","39999",28731,2692124,10.67
,"Canadian County, OK","40017",2263,181760,12.45
,"Cleveland County, OK","40027",2650,303952,8.72
,"Comanche County, OK","40031",1570,121396,12.93
,"Oklahoma County, OK","40109",10834,816490,13.27
,"Tulsa County, OK","40143",8631,693514,12.45
,"Unidentified Counties, OK","40999",22014,1978281,11.13
,"Clackamas County, OR","41005",3746,425857,8.80
,"Deschutes County, OR","41017",1944,211535,9.19
,"Douglas County, OR","41019",954,112255,8.50
,"Jackson County, OR","41029",2017,221331,9.11
,"Lane County, OR","41039",2821,382396,7.38
,"Linn County, OR","41043",1446,132474,10.92
,"Marion County, OR","41047",3995,352867,11.32
