"Notes","County of Residence","County of Residence Code",Births,Total Population,Birth Rate
,"Chesapeake city, VA","51550",2520,254997,9.88
,"Hampton city, VA","51650",1506,137596,10.95
,"Newport News city, VA","51700",2377,183056,12.99
,"Norfolk city, VA","51710",2996,231105,12.96
,"Richmond city, VA","51760",2925,233655,12.52
,"Virginia Beach city, VA","51810",4769,454808,10.49
,"Unidentified Counties, VA","51999",37757,3766332,10.02
,"Benton County, WA","53005",2618,218190,12.00
,"Clark County, WA","53011",5669,527269,10.75
,"Cowlitz County, WA","53015",1240,113982,10.88
,"King County, WA","53033",22948,2340211,9.81
,"Kitsap County, WA","53035",2782,281420,9.89
,"Pierce County, WA","53053",10518,941170,11.18
,"Skagit County, WA","53057",1330,132736,10.02
,"Snohomish County, WA","53061",9849,864113,11.40
,"Spokane County, WA","53063",6018,555947,10.82
,"Thurston County, WA","53067",2991,302912,9.87
,"Whatcom County, WA","53073",2024,234954,8.61
,"Yakima County, WA","53077",3378,258523,13.07
,"Unidentified Counties, WA","53999",11753,1186753,9.90
,"Berkeley County, WV","54003",1555,136287,11.41
,"Kanawha County, WV","54039",1658,173906,9.53
,"Unidentified Counties, WV","54999",13809,1459786,9.46
,"Brown County, WI","55009",2908,273909,10.62
,"Dane County, WI","55025",5419,588347,9.21
,"Fond du Lac County, WI","55039",994,104269,9.53
,"Kenosha County, WI","55059",1554,168754,9.21
,"La Crosse County, WI","55063",1128,121060,9.32
,"Marathon County, WI","55073",1416,139091,10.18
,"Milwaukee County, WI","55079",11382,924740,12.31
,"Outagamie County, WI","55087",2182,195390,11.17
,"Racine County, WI","55101",2081,198651,10.48
,"Rock County, WI","55105",1835,165461,11.09
,"Sheboygan County, WI","55117",1081,118331,9.14
,"Walworth County, WI","55127",886,106029,8.36
,"Washington County, WI","55131",1200,138727,8.65
,"Waukesha County, WI","55133",3672,417029,8.81
,"Winnebago County, WI","55139",1677,173307,9.68
,"Unidentified Counties, WI","55999",20271,2127880,9.53
,"Unidentified Counties, WY","56999",6089,587618,10.36
"Total",,,3628934,340110988,10.67
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Mar 25, 2026 1:42:56 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Mar 25, 2026 1:42:56 PM"
"---"
Messages:
"1. Rows with zero Births are hidden, but the Total Population values in those rows are included in the totals. Use Quick Options"
"above to show zero rows."
"---"
Caveats:
"1. 'Not Available' appears when the denominator population for a rate measure is not available."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"5. Birth rates and fertility rates are calculated using the following populations: The populations for year 2024 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 26, 2025. The"
"2024 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2023 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on June 27, 2024. The 2023 population estimates are based on the Blended Base produced by"
"the US Census Bureau in lieu of the April 1, 2020 decennial population count. The populations for year 2022 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 22, 2023. The"
"2022 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2021 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on June 30, 2022. The 2021 population estimates are based on the Blended Base produced by"
"the US Census Bureau in lieu of the April 1, 2020 decennial population count. The populations for year 2020 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on July 27, 2021. The"
"populations for year 2019 are from the postcensal single race series of July 1st estimates of the resident population, released"
