"IBRC_Geo_ID","Metrofips/Microfips","Description","Year","Geography","BEA Per Capita Personal Income"
"210420","10420","Akron, OH","2004","Metro","32818"
"210420","10420","Akron, OH","2005","Metro","33619"
"210420","10420","Akron, OH","2006","Metro","34952"
"210420","10420","Akron, OH","2007","Metro","36611"
"210420","10420","Akron, OH","2008","Metro","38358"
"210420","10420","Akron, OH","2009","Metro","37087"
"210420","10420","Akron, OH","2010","Metro","38080"
"210420","10420","Akron, OH","2011","Metro","39794"
"210420","10420","Akron, OH","2012","Metro","41099"
"210420","10420","Akron, OH","2013","Metro","41643"
"210420","10420","Akron, OH","2014","Metro","43331"
"210420","10420","Akron, OH","2015","Metro","44674"
"210420","10420","Akron, OH","2016","Metro","45463"
"210420","10420","Akron, OH","2017","Metro","47163"
"210420","10420","Akron, OH","2018","Metro","49091"
"210420","10420","Akron, OH","2019","Metro","50905"
"210420","10420","Akron, OH","2020","Metro","54376"
"210420","10420","Akron, OH","2021","Metro","59583"
"210420","10420","Akron, OH","2022","Metro","59609"
"210420","10420","Akron, OH","2023","Metro","62904"
"210460","10460","Alamogordo, NM","2001","Micro","19280"
"210460","10460","Alamogordo, NM","2002","Micro","20991"
"210460","10460","Alamogordo, NM","2003","Micro","21814"
"210460","10460","Alamogordo, NM","2004","Micro","22815"
"210460","10460","Alamogordo, NM","2005","Micro","23898"
"210460","10460","Alamogordo, NM","2006","Micro","25407"
"210460","10460","Alamogordo, NM","2007","Micro","26693"
"210460","10460","Alamogordo, NM","2008","Micro","28104"
"210460","10460","Alamogordo, NM","2009","Micro","29413"
"210460","10460","Alamogordo, NM","2010","Micro","31474"
"210460","10460","Alamogordo, NM","2011","Micro","31979"
"210460","10460","Alamogordo, NM","2012","Micro","31760"
"210460","10460","Alamogordo, NM","2013","Micro","30598"
"210460","10460","Alamogordo, NM","2014","Micro","31617"
"210460","10460","Alamogordo, NM","2015","Micro","32587"
"210460","10460","Alamogordo, NM","2016","Micro","33105"
"210460","10460","Alamogordo, NM","2017","Micro","33240"
"210460","10460","Alamogordo, NM","2018","Micro","34474"
"210460","10460","Alamogordo, NM","2019","Micro","35119"
"210460","10460","Alamogordo, NM","2020","Micro","38834"
"210460","10460","Alamogordo, NM","2021","Micro","41855"
"210460","10460","Alamogordo, NM","2022","Micro","42490"
"210460","10460","Alamogordo, NM","2023","Micro","43353"
"210500","10500","Albany, GA","2001","Metro","22857"
"210500","10500","Albany, GA","2002","Metro","23885"
"210500","10500","Albany, GA","2003","Metro","24766"
"210500","10500","Albany, GA","2004","Metro","25337"
"210500","10500","Albany, GA","2005","Metro","26205"
"210500","10500","Albany, GA","2006","Metro","26674"
"210500","10500","Albany, GA","2007","Metro","27799"
"210500","10500","Albany, GA","2008","Metro","28930"
"210500","10500","Albany, GA","2009","Metro","29399"
"210500","10500","Albany, GA","2010","Metro","30320"
"210500","10500","Albany, GA","2011","Metro","32340"
"210500","10500","Albany, GA","2012","Metro","32504"
"210500","10500","Albany, GA","2013","Metro","32327"
"210500","10500","Albany, GA","2014","Metro","33110"
"210500","10500","Albany, GA","2015","Metro","33863"
"210500","10500","Albany, GA","2016","Metro","34472"
"210500","10500","Albany, GA","2017","Metro","35340"
"210500","10500","Albany, GA","2018","Metro","36189"
"210500","10500","Albany, GA","2019","Metro","37991"
"210500","10500","Albany, GA","2020","Metro","42123"
"210500","10500","Albany, GA","2021","Metro","47052"
"210500","10500","Albany, GA","2022","Metro","46801"
"210500","10500","Albany, GA","2023","Metro","48534"
"210540","10540","Albany-Lebanon, OR","2001","Metro","24753"
"210540","10540","Albany-Lebanon, OR","2002","Metro","25269"
"210540","10540","Albany-Lebanon, OR","2003","Metro","25511"
"210540","10540","Albany-Lebanon, OR","2004","Metro","27047"
"210540","10540","Albany-Lebanon, OR","2005","Metro","27727"
"210540","10540","Albany-Lebanon, OR","2006","Metro","29531"
"210540","10540","Albany-Lebanon, OR","2007","Metro","30300"
"210540","10540","Albany-Lebanon, OR","2008","Metro","30913"
"210540","10540","Albany-Lebanon, OR","2009","Metro","30633"
"210540","10540","Albany-Lebanon, OR","2010","Metro","31609"
"210540","10540","Albany-Lebanon, OR","2011","Metro","32316"
"210540","10540","Albany-Lebanon, OR","2012","Metro","33264"
"210540","10540","Albany-Lebanon, OR","2013","Metro","33705"
"210540","10540","Albany-Lebanon, OR","2014","Metro","35888"
"210540","10540","Albany-Lebanon, OR","2015","Metro","37940"
"210540","10540","Albany-Lebanon, OR","2016","Metro","38991"
"210540","10540","Albany-Lebanon, OR","2017","Metro","40571"
"210540","10540","Albany-Lebanon, OR","2018","Metro","43056"
"210540","10540","Albany-Lebanon, OR","2019","Metro","44286"
"210540","10540","Albany-Lebanon, OR","2020","Metro","48033"
"210540","10540","Albany-Lebanon, OR","2021","Metro","52230"
"210540","10540","Albany-Lebanon, OR","2022","Metro","54123"
"210540","10540","Albany-Lebanon, OR","2023","Metro","57016"
"210580","10580","Albany-Schenectady-Troy, NY","2001","Metro","33798"
"210580","10580","Albany-Schenectady-Troy, NY","2002","Metro","33865"
"210580","10580","Albany-Schenectady-Troy, NY","2003","Metro","34731"
"210580","10580","Albany-Schenectady-Troy, NY","2004","Metro","36000"
"210580","10580","Albany-Schenectady-Troy, NY","2005","Metro","36908"
"210580","10580","Albany-Schenectady-Troy, NY","2006","Metro","38624"
"210580","10580","Albany-Schenectady-Troy, NY","2007","Metro","40209"
"210580","10580","Albany-Schenectady-Troy, NY","2008","Metro","42442"
"210580","10580","Albany-Schenectady-Troy, NY","2009","Metro","42625"
"210580","10580","Albany-Schenectady-Troy, NY","2010","Metro","44146"
"210580","10580","Albany-Schenectady-Troy, NY","2011","Metro","45558"
"210580","10580","Albany-Schenectady-Troy, NY","2012","Metro","46708"
"210580","10580","Albany-Schenectady-Troy, NY","2013","Metro","47434"
"210580","10580","Albany-Schenectady-Troy, NY","2014","Metro","48762"
"210580","10580","Albany-Schenectady-Troy, NY","2015","Metro","51103"
"210580","10580","Albany-Schenectady-Troy, NY","2016","Metro","51996"
"210580","10580","Albany-Schenectady-Troy, NY","2017","Metro","54685"
"210580","10580","Albany-Schenectady-Troy, NY","2018","Metro","56159"
"210580","10580","Albany-Schenectady-Troy, NY","2019","Metro","58330"
"210580","10580","Albany-Schenectady-Troy, NY","2020","Metro","62728"
"210580","10580","Albany-Schenectady-Troy, NY","2021","Metro","66929"
"210580","10580","Albany-Schenectady-Troy, NY","2022","Metro","67884"
"210580","10580","Albany-Schenectady-Troy, NY","2023","Metro","71972"
"210620","10620","Albemarle, NC","2001","Micro","23707"
"210620","10620","Albemarle, NC","2002","Micro","23775"
"210620","10620","Albemarle, NC","2003","Micro","24074"
"210620","10620","Albemarle, NC","2004","Micro","25604"
"210620","10620","Albemarle, NC","2005","Micro","27306"
"210620","10620","Albemarle, NC","2006","Micro","28572"
"210620","10620","Albemarle, NC","2007","Micro","29590"
"210620","10620","Albemarle, NC","2008","Micro","29363"
"210620","10620","Albemarle, NC","2009","Micro","28504"
"210620","10620","Albemarle, NC","2010","Micro","29239"
"210620","10620","Albemarle, NC","2011","Micro","29917"
"210620","10620","Albemarle, NC","2012","Micro","31500"
"210620","10620","Albemarle, NC","2013","Micro","31786"
"210620","10620","Albemarle, NC","2014","Micro","33292"
"210620","10620","Albemarle, NC","2015","Micro","34639"
"210620","10620","Albemarle, NC","2016","Micro","36109"
"210620","10620","Albemarle, NC","2017","Micro","37585"
"210620","10620","Albemarle, NC","2018","Micro","38705"
"210620","10620","Albemarle, NC","2019","Micro","40254"
"210620","10620","Albemarle, NC","2020","Micro","43148"
"210620","10620","Albemarle, NC","2021","Micro","47770"
"210620","10620","Albemarle, NC","2022","Micro","48450"
"210620","10620","Albemarle, NC","2023","Micro","50394"
"210660","10660","Albert Lea, MN","2001","Micro","24811"
"210660","10660","Albert Lea, MN","2002","Micro","25341"
"210660","10660","Albert Lea, MN","2003","Micro","26267"
"210660","10660","Albert Lea, MN","2004","Micro","27947"
"210660","10660","Albert Lea, MN","2005","Micro","28283"
"210660","10660","Albert Lea, MN","2006","Micro","29360"
"210660","10660","Albert Lea, MN","2007","Micro","31077"
"210660","10660","Albert Lea, MN","2008","Micro","33363"
"210660","10660","Albert Lea, MN","2009","Micro","33377"
"210660","10660","Albert Lea, MN","2010","Micro","34935"
"210660","10660","Albert Lea, MN","2011","Micro","37669"
"210660","10660","Albert Lea, MN","2012","Micro","38862"
"210660","10660","Albert Lea, MN","2013","Micro","40443"
"210660","10660","Albert Lea, MN","2014","Micro","39579"
"210660","10660","Albert Lea, MN","2015","Micro","40839"
"210660","10660","Albert Lea, MN","2016","Micro","40117"
"210660","10660","Albert Lea, MN","2017","Micro","42361"
"210660","10660","Albert Lea, MN","2018","Micro","43490"
"210660","10660","Albert Lea, MN","2019","Micro","44518"
"210660","10660","Albert Lea, MN","2020","Micro","48857"
"210660","10660","Albert Lea, MN","2021","Micro","54489"
"210660","10660","Albert Lea, MN","2022","Micro","55432"
"210660","10660","Albert Lea, MN","2023","Micro","56100"
"210700","10700","Albertville, AL","2001","Micro","23335"
"210700","10700","Albertville, AL","2002","Micro","23365"
"210700","10700","Albertville, AL","2003","Micro","24482"
"210700","10700","Albertville, AL","2004","Micro","25717"
"210700","10700","Albertville, AL","2005","Micro","26537"
"210700","10700","Albertville, AL","2006","Micro","27013"
"210700","10700","Albertville, AL","2007","Micro","28111"
"210700","10700","Albertville, AL","2008","Micro","28731"
"210700","10700","Albertville, AL","2009","Micro","28984"
"210700","10700","Albertville, AL","2010","Micro","29709"
"210700","10700","Albertville, AL","2011","Micro","29648"
"210700","10700","Albertville, AL","2012","Micro","30789"
"210700","10700","Albertville, AL","2013","Micro","31076"
"210700","10700","Albertville, AL","2014","Micro","32093"
"210700","10700","Albertville, AL","2015","Micro","34050"
"210700","10700","Albertville, AL","2016","Micro","33615"
"210700","10700","Albertville, AL","2017","Micro","34556"
"210700","10700","Albertville, AL","2018","Micro","35648"
"210700","10700","Albertville, AL","2019","Micro","37673"
"210700","10700","Albertville, AL","2020","Micro","41120"
"210700","10700","Albertville, AL","2021","Micro","45985"
"210700","10700","Albertville, AL","2022","Micro","47142"
"210700","10700","Albertville, AL","2023","Micro","48602"
"210740","10740","Albuquerque, NM","2001","Metro","27672"
"210740","10740","Albuquerque, NM","2002","Metro","28149"
"210740","10740","Albuquerque, NM","2003","Metro","28963"
"210740","10740","Albuquerque, NM","2004","Metro","30161"
"210740","10740","Albuquerque, NM","2005","Metro","31254"
"210740","10740","Albuquerque, NM","2006","Metro","32924"
"210740","10740","Albuquerque, NM","2007","Metro","33770"
"210740","10740","Albuquerque, NM","2008","Metro","35078"
"210740","10740","Albuquerque, NM","2009","Metro","34503"
"210740","10740","Albuquerque, NM","2010","Metro","34521"
"210740","10740","Albuquerque, NM","2011","Metro","35720"
"210740","10740","Albuquerque, NM","2012","Metro","35918"
"210740","10740","Albuquerque, NM","2013","Metro","35330"
"210740","10740","Albuquerque, NM","2014","Metro","37284"
"210740","10740","Albuquerque, NM","2015","Metro","38644"
"210740","10740","Albuquerque, NM","2016","Metro","40050"
"210740","10740","Albuquerque, NM","2017","Metro","40802"
"210740","10740","Albuquerque, NM","2018","Metro","42178"
"210740","10740","Albuquerque, NM","2019","Metro","44597"
"210740","10740","Albuquerque, NM","2020","Metro","48463"
"210740","10740","Albuquerque, NM","2021","Metro","52372"
"210740","10740","Albuquerque, NM","2022","Metro","54687"
"210740","10740","Albuquerque, NM","2023","Metro","57278"
"210760","10760","Alexander City, AL","2001","Micro","21779"
"210760","10760","Alexander City, AL","2002","Micro","21864"
"210760","10760","Alexander City, AL","2003","Micro","23262"
"210760","10760","Alexander City, AL","2004","Micro","24988"
"210760","10760","Alexander City, AL","2005","Micro","26233"
"210760","10760","Alexander City, AL","2006","Micro","27982"
"210760","10760","Alexander City, AL","2007","Micro","28957"
"210760","10760","Alexander City, AL","2008","Micro","30053"
"210760","10760","Alexander City, AL","2009","Micro","30073"
"210760","10760","Alexander City, AL","2010","Micro","30699"
"210760","10760","Alexander City, AL","2011","Micro","31202"
"210760","10760","Alexander City, AL","2012","Micro","32129"
"210760","10760","Alexander City, AL","2013","Micro","32452"
"210760","10760","Alexander City, AL","2014","Micro","32782"
"210760","10760","Alexander City, AL","2015","Micro","35019"
"210760","10760","Alexander City, AL","2016","Micro","35889"
"210760","10760","Alexander City, AL","2017","Micro","36506"
"210760","10760","Alexander City, AL","2018","Micro","37885"
"210760","10760","Alexander City, AL","2019","Micro","40125"
"210760","10760","Alexander City, AL","2020","Micro","42533"
"210760","10760","Alexander City, AL","2021","Micro","46781"
"210760","10760","Alexander City, AL","2022","Micro","46972"
"210760","10760","Alexander City, AL","2023","Micro","49396"
"210780","10780","Alexandria, LA","2001","Metro","25496"
"210780","10780","Alexandria, LA","2002","Metro","26351"
"210780","10780","Alexandria, LA","2003","Metro","26621"
"210780","10780","Alexandria, LA","2004","Metro","28365"
"210780","10780","Alexandria, LA","2005","Metro","30774"
"210780","10780","Alexandria, LA","2006","Metro","31732"
"210780","10780","Alexandria, LA","2007","Metro","33209"
"210780","10780","Alexandria, LA","2008","Metro","35092"
"210780","10780","Alexandria, LA","2009","Metro","34570"
"210780","10780","Alexandria, LA","2010","Metro","34936"
"210780","10780","Alexandria, LA","2011","Metro","36684"
"210780","10780","Alexandria, LA","2012","Metro","38264"
"210780","10780","Alexandria, LA","2013","Metro","38257"
"210780","10780","Alexandria, LA","2014","Metro","38665"
"210780","10780","Alexandria, LA","2015","Metro","39271"
"210780","10780","Alexandria, LA","2016","Metro","39871"
"210780","10780","Alexandria, LA","2017","Metro","40302"
"210780","10780","Alexandria, LA","2018","Metro","41876"
"210780","10780","Alexandria, LA","2019","Metro","43558"
"210780","10780","Alexandria, LA","2020","Metro","47669"
"210780","10780","Alexandria, LA","2021","Metro","51240"
"210780","10780","Alexandria, LA","2022","Metro","51601"
"210780","10780","Alexandria, LA","2023","Metro","53765"
"210820","10820","Alexandria, MN","2001","Micro","26682"
"210820","10820","Alexandria, MN","2002","Micro","27755"
"210820","10820","Alexandria, MN","2003","Micro","29373"
"210820","10820","Alexandria, MN","2004","Micro","30922"
"210820","10820","Alexandria, MN","2005","Micro","30796"
"210820","10820","Alexandria, MN","2006","Micro","32663"
"210820","10820","Alexandria, MN","2007","Micro","35803"
"210820","10820","Alexandria, MN","2008","Micro","39326"
"210820","10820","Alexandria, MN","2009","Micro","39997"
"210820","10820","Alexandria, MN","2010","Micro","43255"
"210820","10820","Alexandria, MN","2011","Micro","45281"
"210820","10820","Alexandria, MN","2012","Micro","49625"
"210820","10820","Alexandria, MN","2013","Micro","48494"
"210820","10820","Alexandria, MN","2014","Micro","46179"
"210820","10820","Alexandria, MN","2015","Micro","49126"
"210820","10820","Alexandria, MN","2016","Micro","50091"
"210820","10820","Alexandria, MN","2017","Micro","49167"
"210820","10820","Alexandria, MN","2018","Micro","50088"
"210820","10820","Alexandria, MN","2019","Micro","51196"
"210820","10820","Alexandria, MN","2020","Micro","55839"
"210820","10820","Alexandria, MN","2021","Micro","61686"
"210820","10820","Alexandria, MN","2022","Micro","63755"
"210820","10820","Alexandria, MN","2023","Micro","65827"
"210860","10860","Alice, TX","2001","Micro","20575"
"210860","10860","Alice, TX","2002","Micro","21319"
"210860","10860","Alice, TX","2003","Micro","22872"
"210860","10860","Alice, TX","2004","Micro","23558"
"210860","10860","Alice, TX","2005","Micro","24977"
"210860","10860","Alice, TX","2006","Micro","27228"
"210860","10860","Alice, TX","2007","Micro","28953"
"210860","10860","Alice, TX","2008","Micro","31695"
"210860","10860","Alice, TX","2009","Micro","30363"
"210860","10860","Alice, TX","2010","Micro","33147"
"210860","10860","Alice, TX","2011","Micro","37523"
"210860","10860","Alice, TX","2012","Micro","40161"
"210860","10860","Alice, TX","2013","Micro","41830"
"210860","10860","Alice, TX","2014","Micro","43500"
"210860","10860","Alice, TX","2015","Micro","39914"
"210860","10860","Alice, TX","2016","Micro","37538"
"210860","10860","Alice, TX","2017","Micro","39904"
"210860","10860","Alice, TX","2018","Micro","41376"
"210860","10860","Alice, TX","2019","Micro","43314"
"210860","10860","Alice, TX","2020","Micro","46340"
"210860","10860","Alice, TX","2021","Micro","48074"
"210860","10860","Alice, TX","2022","Micro","48839"
"210860","10860","Alice, TX","2023","Micro","51699"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2001","Metro","32403"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2002","Metro","33077"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2003","Metro","33804"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2004","Metro","35202"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2005","Metro","37089"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2006","Metro","38379"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2007","Metro","41063"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2008","Metro","42372"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2009","Metro","40845"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2010","Metro","42274"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2011","Metro","43509"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2012","Metro","43937"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2013","Metro","44324"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2014","Metro","45795"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2015","Metro","47682"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2016","Metro","48896"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2017","Metro","50135"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2018","Metro","52126"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2019","Metro","54962"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2020","Metro","58589"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2021","Metro","61836"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2022","Metro","62900"
