,Date,Open,High,Low,Close,Volume,Range,% Chg
828,2022-11-25,185.06,185.20,180.63,182.86,50672700,4.57,-1.19
829,2022-11-23,173.57,183.62,172.50,183.20,109536700,11.12,5.55
830,2022-11-22,168.63,170.92,166.19,169.91,78452300,4.73,0.76
831,2022-11-21,175.85,176.77,167.54,167.87,92882700,9.23,-4.54
832,2022-11-18,185.05,185.19,176.55,180.19,76048900,8.64,-2.63
833,2022-11-17,183.96,186.16,180.90,183.17,64336000,5.26,-0.43
834,2022-11-16,191.51,192.57,185.66,186.92,66567600,6.91,-2.40
835,2022-11-15,195.88,200.82,192.06,194.42,91293800,8.76,-0.75
836,2022-11-14,192.77,195.73,186.34,190.95,92226600,9.39,-0.94
837,2022-11-11,186.00,196.52,182.59,195.97,114403600,13.93,5.36
838,2022-11-10,189.90,191.00,180.03,190.72,132703000,10.97,0.43
839,2022-11-09,190.78,195.89,177.12,177.59,127062700,18.77,-6.91
840,2022-11-08,194.02,195.20,186.75,191.30,128803400,8.45,-1.40
841,2022-11-07,208.65,208.90,196.66,197.08,93916500,12.24,-5.55
842,2022-11-04,222.60,223.80,203.08,207.47,98622200,20.72,-6.80
843,2022-11-03,211.36,221.20,210.14,215.31,56538800,11.06,1.87
844,2022-11-02,226.04,227.87,214.82,214.98,63070300,13.05,-4.89
845,2022-11-01,234.05,237.40,227.28,227.82,62688800,10.12,-2.66
846,2022-10-31,226.19,229.85,221.94,227.54,61554300,7.91,0.60
847,2022-10-28,225.40,228.86,216.35,228.52,69152400,12.51,1.38
848,2022-10-27,229.77,233.81,222.85,225.09,61638800,10.96,-2.04
849,2022-10-26,219.40,230.60,218.20,224.64,85012500,12.40,2.39
850,2022-10-25,210.10,224.35,210.00,222.42,96507900,14.35,5.86
851,2022-10-24,205.82,213.50,198.59,211.25,100446800,14.91,2.64
852,2022-10-21,206.42,214.66,203.80,214.44,75713800,10.86,3.89
853,2022-10-20,208.28,215.55,202.00,207.28,117798100,13.55,-0.48
854,2022-10-19,219.80,222.93,217.78,222.04,66571500,5.15,1.02
855,2022-10-18,229.50,229.82,217.25,220.19,75891900,12.57,-4.06
856,2022-10-17,210.04,221.86,209.45,219.35,79428800,12.41,4.43
857,2022-10-14,224.01,226.26,204.16,204.99,94124500,22.10,-8.49
858,2022-10-13,208.30,222.99,206.22,221.72,91483000,16.77,6.44
859,2022-10-12,215.33,219.30,211.51,217.24,66860700,7.79,0.89
860,2022-10-11,220.95,225.75,215.00,216.50,77013200,10.75,-2.01
861,2022-10-10,223.93,226.99,218.36,222.96,67925000,8.63,-0.43
862,2022-10-07,233.94,234.57,222.02,223.07,83916800,12.55,-4.65
863,2022-10-06,239.44,244.58,235.35,238.13,69298400,9.23,-0.55
864,2022-10-05,245.01,246.67,233.27,240.81,86982700,13.40,-1.71
