,Date,Open,High,Low,Close,Volume,Range,% Chg
1156,2021-08-09,278.67,280.41,276.81,277.31,16117600,3.60,-0.49
1157,2021-08-06,277.48,278.43,276.63,278.40,16589300,1.81,0.33
1158,2021-08-05,275.91,278.56,275.16,278.45,13900200,3.40,0.92
1159,2021-08-04,275.28,276.60,273.77,275.56,16191300,2.83,0.10
1160,2021-08-03,274.51,276.25,273.14,276.14,17879000,3.11,0.60
1161,2021-08-02,275.41,275.81,272.89,273.93,16267400,2.91,-0.54
1162,2021-07-30,274.27,275.70,273.06,274.02,20944800,2.64,-0.09
1163,2021-07-29,275.30,277.59,275.14,275.55,18168300,2.44,0.09
1164,2021-07-28,277.94,279.06,272.98,275.28,33566900,6.08,-0.96
1165,2021-07-27,278.37,278.51,272.13,275.59,33604100,6.38,-1.00
1166,2021-07-26,277.95,278.62,275.68,278.00,23176100,2.93,0.02
1167,2021-07-23,276.39,278.91,275.55,278.60,22768100,3.36,0.80
1168,2021-07-22,272.99,275.47,272.59,275.20,23384100,2.89,0.81
1169,2021-07-21,268.24,270.76,266.69,270.64,24364300,4.07,0.90
1170,2021-07-20,267.40,270.23,265.70,268.64,26259700,4.53,0.46
1171,2021-07-19,268.27,269.65,263.96,266.42,32935600,5.69,-0.69
1172,2021-07-16,271.29,273.24,268.78,270.02,26186800,4.46,-0.47
1173,2021-07-15,271.22,271.71,269.13,270.29,22604200,2.58,-0.34
1174,2021-07-14,271.56,272.82,269.83,271.71,23113700,2.99,0.06
1175,2021-07-13,266.91,272.04,266.79,270.24,26120100,5.25,1.25
1176,2021-07-12,268.49,269.08,266.01,266.72,18931700,3.07,-0.66
1177,2021-07-09,265.18,267.42,264.80,267.32,23916700,2.63,0.81
1178,2021-07-08,266.32,268.08,264.36,266.82,24618600,3.71,0.19
1179,2021-07-07,268.72,269.96,266.56,269.23,23260000,3.40,0.19
1180,2021-07-06,267.40,268.69,263.81,267.05,31565600,4.88,-0.13
1181,2021-07-02,262.39,267.37,262.08,267.04,26458000,5.29,1.77
1182,2021-07-01,259.30,261.45,259.29,261.22,16725300,2.15,0.74
1183,2021-06-30,260.34,260.99,259.29,260.54,21656500,1.69,0.08
1184,2021-06-29,258.59,261.27,257.74,261.03,19937800,3.53,0.94
1185,2021-06-28,256.01,258.62,255.75,258.45,19590000,2.88,0.95
1186,2021-06-25,256.05,257.03,254.64,254.89,25611100,2.39,-0.45
1187,2021-06-24,255.99,257.61,255.32,256.50,21446900,2.29,0.20
1188,2021-06-23,255.82,256.63,254.32,255.13,19518700,2.31,-0.27
1189,2021-06-22,252.68,255.63,252.37,255.36,24694100,3.26,1.06
1190,2021-06-21,249.89,253.45,248.06,252.59,26696100,5.39,1.08
